Seed,RoomType,RoomLayoutType,PathingType,ReasonSimEnded,PercentBoardCovered,PercentDirtCollected,TimeTaken,BatteryRemaining
1,Preset,SingleRoom,Random,Time,69.27,81.05,915,11.61
2,Preset,SingleRoom,Random,Time,58.85,58.95,915,12.66
3,Preset,SingleRoom,Random,Time,64.58,60.00,915,12.61
4,Preset,SingleRoom,Random,Time,59.90,62.11,915,12.51
5,Preset,SingleRoom,Random,Time,72.40,71.58,915,12.06
6,Preset,SingleRoom,Random,Time,61.46,61.05,915,12.56
7,Preset,SingleRoom,Random,Time,65.10,55.79,915,12.81
8,Preset,SingleRoom,Random,Time,69.79,70.53,915,12.11
9,Preset,SingleRoom,Random,Time,53.13,47.37,915,13.21
10,Preset,SingleRoom,Random,Time,85.42,71.58,915,12.06
11,Preset,SingleRoom,Random,Time,61.98,62.11,915,12.51
12,Preset,SingleRoom,Random,Time,76.04,76.84,915,11.81
13,Preset,SingleRoom,Random,Time,78.65,76.84,915,11.81
14,Preset,SingleRoom,Random,Time,58.33,52.63,915,12.96
15,Preset,SingleRoom,Random,Time,73.96,74.74,915,11.91
16,Preset,SingleRoom,Random,Time,69.79,66.32,915,12.31
17,Preset,SingleRoom,Random,Time,48.96,49.47,915,13.11
18,Preset,SingleRoom,Random,Time,60.94,50.53,915,13.06
19,Preset,SingleRoom,Random,Time,60.42,55.79,915,12.81
20,Preset,SingleRoom,Random,Time,61.98,67.37,915,12.26
21,Preset,SingleRoom,Random,Time,42.19,35.79,915,13.76
22,Preset,SingleRoom,Random,Time,59.38,55.79,915,12.81
23,Preset,SingleRoom,Random,Time,76.04,70.53,915,12.11
24,Preset,SingleRoom,Random,Time,79.17,74.74,915,11.91
25,Preset,SingleRoom,Random,Time,50.00,41.05,915,13.51
26,Preset,SingleRoom,Random,Time,71.35,66.32,915,12.31
27,Preset,SingleRoom,Random,Time,51.04,47.37,915,13.21
28,Preset,SingleRoom,Random,Time,56.25,48.42,915,13.16
29,Preset,SingleRoom,Random,Time,69.79,61.05,915,12.56
30,Preset,SingleRoom,Random,Time,63.02,49.47,915,13.11
31,Preset,SingleRoom,Random,Time,43.75,47.37,915,13.21
32,Preset,SingleRoom,Random,Time,57.29,55.79,915,12.81
33,Preset,SingleRoom,Random,Time,56.77,61.05,915,12.56
34,Preset,SingleRoom,Random,Time,67.71,61.05,915,12.56
35,Preset,SingleRoom,Random,Time,45.83,33.68,915,13.86
36,Preset,SingleRoom,Random,Time,59.38,60.00,915,12.61
37,Preset,SingleRoom,Random,Time,66.15,71.58,915,12.06
38,Preset,SingleRoom,Random,Time,63.02,54.74,915,12.86
39,Preset,SingleRoom,Random,Time,50.52,51.58,915,13.01
40,Preset,SingleRoom,Random,Time,64.06,51.58,915,13.01
41,Preset,SingleRoom,Random,Time,67.19,66.32,915,12.31
42,Preset,SingleRoom,Random,Time,56.77,48.42,915,13.16
43,Preset,SingleRoom,Random,Time,76.04,74.74,915,11.91
44,Preset,SingleRoom,Random,Time,51.56,47.37,915,13.21
45,Preset,SingleRoom,Random,Time,61.98,57.89,915,12.71
46,Preset,SingleRoom,Random,Time,62.50,64.21,915,12.41
47,Preset,SingleRoom,Random,Time,72.92,69.47,915,12.16
48,Preset,SingleRoom,Random,Time,71.88,64.21,915,12.41
49,Preset,SingleRoom,Random,Time,67.71,67.37,915,12.26
50,Preset,SingleRoom,Random,Time,70.31,73.68,915,11.96
1,Preset,Square,Random,Complete,100.00,77.78,295,72.11
2,Preset,Square,Random,Complete,100.00,88.89,182,82.46
3,Preset,Square,Random,Complete,100.00,94.44,285,72.88
4,Preset,Square,Random,Complete,100.00,83.33,220,78.99
5,Preset,Square,Random,Complete,100.00,77.78,159,84.69
6,Preset,Square,Random,Complete,100.00,88.89,244,76.72
7,Preset,Square,Random,Complete,100.00,88.89,225,78.48
8,Preset,Square,Random,Complete,100.00,83.33,241,77.05
9,Preset,Square,Random,Complete,100.00,88.89,311,70.53
10,Preset,Square,Random,Complete,100.00,88.89,147,85.70
11,Preset,Square,Random,Complete,100.00,94.44,262,75.01
12,Preset,Square,Random,Complete,100.00,77.78,274,74.05
13,Preset,Square,Random,Complete,100.00,100.00,333,68.39
14,Preset,Square,Random,Complete,100.00,88.89,231,77.93
15,Preset,Square,Random,Complete,100.00,83.33,143,86.12
16,Preset,Square,Random,Complete,100.00,83.33,417,60.77
17,Preset,Square,Random,Complete,100.00,100.00,299,71.54
18,Preset,Square,Random,Complete,100.00,83.33,205,80.38
19,Preset,Square,Random,Complete,100.00,100.00,185,82.08
20,Preset,Square,Random,Complete,100.00,88.89,162,84.31
21,Preset,Square,Random,Complete,100.00,83.33,225,78.53
22,Preset,Square,Random,Complete,100.00,72.22,342,67.81
23,Preset,Square,Random,Complete,100.00,100.00,202,80.51
24,Preset,Square,Random,Complete,100.00,77.78,194,81.45
25,Preset,Square,Random,Complete,100.00,88.89,489,54.06
26,Preset,Square,Random,Complete,100.00,83.33,224,78.62
27,Preset,Square,Random,Complete,100.00,83.33,177,82.97
28,Preset,Square,Random,Complete,100.00,83.33,263,75.02
29,Preset,Square,Random,Complete,100.00,77.78,250,76.27
30,Preset,Square,Random,Complete,100.00,77.78,243,76.92
31,Preset,Square,Random,Complete,100.00,88.89,378,64.33
32,Preset,Square,Random,Complete,100.00,88.89,404,61.92
33,Preset,Square,Random,Complete,100.00,83.33,398,62.53
34,Preset,Square,Random,Complete,100.00,66.67,288,72.85
35,Preset,Square,Random,Complete,100.00,72.22,450,57.82
36,Preset,Square,Random,Complete,100.00,83.33,144,86.02
37,Preset,Square,Random,Complete,100.00,83.33,292,72.33
38,Preset,Square,Random,Complete,100.00,77.78,371,65.08
39,Preset,Square,Random,Complete,100.00,72.22,214,79.65
40,Preset,Square,Random,Complete,100.00,72.22,177,83.07
41,Preset,Square,Random,Complete,100.00,83.33,194,81.40
42,Preset,Square,Random,Complete,100.00,83.33,228,78.25
43,Preset,Square,Random,Complete,100.00,72.22,217,79.37
44,Preset,Square,Random,Complete,100.00,77.78,161,84.50
45,Preset,Square,Random,Complete,100.00,88.89,140,86.34
46,Preset,Square,Random,Complete,100.00,88.89,386,63.59
47,Preset,Square,Random,Complete,100.00,83.33,108,89.35
48,Preset,Square,Random,Complete,100.00,83.33,451,57.63
49,Preset,Square,Random,Complete,100.00,83.33,246,76.59
50,Preset,Square,Random,Complete,100.00,88.89,187,82.00
1,Preset,Apartment,Random,Time,10.12,9.31,915,14.31
2,Preset,Apartment,Random,Time,13.68,12.55,915,13.91
3,Preset,Apartment,Random,Time,11.72,10.93,915,14.11
4,Preset,Apartment,Random,Time,20.25,22.27,915,12.71
5,Preset,Apartment,Random,Time,14.56,12.55,915,13.91
6,Preset,Apartment,Random,Time,10.30,9.31,915,14.31
7,Preset,Apartment,Random,Time,17.05,16.19,915,13.46
8,Preset,Apartment,Random,Time,19.36,16.19,915,13.46
9,Preset,Apartment,Random,Time,19.18,17.00,915,13.36
10,Preset,Apartment,Random,Time,22.56,24.29,915,12.46
11,Preset,Apartment,Random,Time,18.12,17.81,915,13.26
12,Preset,Apartment,Random,Time,12.26,9.72,915,14.26
13,Preset,Apartment,Random,Time,9.59,9.72,915,14.26
14,Preset,Apartment,Random,Time,26.11,25.10,915,12.36
15,Preset,Apartment,Random,Time,23.80,23.89,915,12.51
16,Preset,Apartment,Random,Time,14.74,12.96,915,13.86
17,Preset,Apartment,Random,Time,29.48,29.96,915,11.76
18,Preset,Apartment,Random,Time,10.48,9.31,915,14.31
19,Preset,Apartment,Random,Time,16.16,13.77,915,13.76
20,Preset,Apartment,Random,Time,17.41,14.98,915,13.61
21,Preset,Apartment,Random,Time,18.65,16.60,915,13.41
22,Preset,Apartment,Random,Time,17.76,16.19,915,13.46
23,Preset,Apartment,Random,Time,11.01,9.72,915,14.26
24,Preset,Apartment,Random,Time,21.49,20.65,915,12.91
25,Preset,Apartment,Random,Time,13.14,11.74,915,14.01
26,Preset,Apartment,Random,Time,17.41,15.38,915,13.56
27,Preset,Apartment,Random,Time,24.51,27.94,915,12.01
28,Preset,Apartment,Random,Time,14.39,12.96,915,13.86
29,Preset,Apartment,Random,Time,22.02,24.29,915,12.46
30,Preset,Apartment,Random,Time,14.03,10.93,915,14.11
31,Preset,Apartment,Random,Time,12.43,10.93,915,14.11
32,Preset,Apartment,Random,Time,15.99,14.57,915,13.66
33,Preset,Apartment,Random,Time,15.63,12.55,915,13.91
34,Preset,Apartment,Random,Time,23.80,26.72,915,12.16
35,Preset,Apartment,Random,Time,17.05,13.77,915,13.76
36,Preset,Apartment,Random,Time,14.39,12.15,915,13.96
37,Preset,Apartment,Random,Time,11.01,9.72,915,14.26
38,Preset,Apartment,Random,Time,23.27,21.05,915,12.86
39,Preset,Apartment,Random,Time,19.01,16.19,915,13.46
40,Preset,Apartment,Random,Time,12.97,12.55,915,13.91
41,Preset,Apartment,Random,Time,17.05,15.38,915,13.56
42,Preset,Apartment,Random,Time,6.22,5.67,915,14.76
43,Preset,Apartment,Random,Time,13.85,11.74,915,14.01
44,Preset,Apartment,Random,Time,14.56,12.96,915,13.86
45,Preset,Apartment,Random,Time,17.23,13.77,915,13.76
46,Preset,Apartment,Random,Time,19.72,17.00,915,13.36
47,Preset,Apartment,Random,Time,10.48,9.72,915,14.26
48,Preset,Apartment,Random,Time,30.55,31.58,915,11.56
49,Preset,Apartment,Random,Time,30.37,35.63,915,11.06
50,Preset,Apartment,Random,Time,21.31,17.81,915,13.26
1,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
2,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
3,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
4,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
5,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
6,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
7,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
8,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
9,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
10,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
11,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
12,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
13,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
14,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
15,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
16,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
17,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
18,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
19,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
20,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
21,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
22,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
23,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
24,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
25,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
26,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
27,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
28,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
29,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
30,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
31,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
32,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
33,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
34,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
35,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
36,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
37,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
38,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
39,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
40,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
41,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
42,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
43,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
44,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
45,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
46,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
47,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
48,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
49,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
50,Preset,Apartment,Lawnmower,Stuck,25.75,27.94,507,49.65
1,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
2,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
3,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
4,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
5,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
6,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
7,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
8,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
9,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
10,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
11,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
12,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
13,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
14,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
15,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
16,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
17,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
18,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
19,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
20,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
21,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
22,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
23,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
24,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
25,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
26,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
27,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
28,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
29,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
30,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
31,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
32,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
33,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
34,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
35,Preset,SingleRoom,Lawnmower,Stuck,70.31,64.21,396,60.32
